link,price,super_area,area_units
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-582-sq-ft-spid-O80387917,86 Lac,76.822,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-621-sq-ft-spid-M80389029,91 Lac,82.005,sq.m.
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-gardencity-enclave-sector-93-gurgaon-1620-sq-ft-spid-U81435453,1.95 Cr,180,sq.yards
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-summit-sector-104-gurgaon-1047-sq-ft-spid-J81163927,1.49 Cr,138.2228,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-D80388497,89 Lac,82.644,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-611-sq-ft-spid-Y80676399,86 Lac,80.727,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-U80388195,88 Lac,82.644,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-S80823497,88 Lac,82.644,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-871-sq-ft-spid-V81063767,85 Lac,81,sq.m.
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-birla-navya-sector-63a-gurgaon-4050-sq-ft-spid-T79542519,5.9 Cr,562.5,sq.yards
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-T80823861,86.5 Lac,82.644,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-T80823727,85.5 Lac,82.644,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-R80823127,85 Lac,82.644,sq.m.
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-J80368035,85 Lac,82.644,sq.m.
