sector,price,super_area,bedrooms,bathroom,balcony,age_possession,servant_room,luxury_category,parking,building_type
sector 65,3.25,2343.0,3,3,3,1 to 5 year old,1,high,2,mid-rise
sector 65,4.75,3600.0,4,4,3+,1 to 5 year old,1,high,2,low-rise
sector 61,2.55,1550.0,3,3,3,0 to 1 year old,0,high,2,low-rise
sector 61,2.6,1627.0,3,3,3,0 to 1 year old,0,medium,3,low-rise
sector-5 sohna,0.5,786.9071999999999,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector-33 sohna,0.53,875.0,2,2,1,1 to 5 year old,1,medium,2,mid-rise
sector-33 sohna,0.56,875.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
nirvana country,4.25,2937.98,3,3,3,10+ year old,0,medium,2,mid-rise
sector 84,2.3,2244.0,3,4,3+,1 to 5 year old,1,medium,1,high-rise
sector 65,5.5,2350.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sohna,1.1,1269.0,2,2,3+,0 to 1 year old,0,high,1,mid-rise
sector 77,1.29,1342.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 85,1.32,1587.0,3,3,3,1 to 5 year old,0,medium,1,mid-rise
sector 61,2.4,1567.1,3,3,2,under construction,0,medium,1,mid-rise
sector 70,1.67,1350.0,2,2,3,0 to 1 year old,0,high,1,mid-rise
sector 70,2.3,1950.0,3,5,3,0 to 1 year old,1,high,1,mid-rise
sector 90,0.68,626.0,2,2,1,0 to 1 year old,0,medium,0,mid-rise
sector 90,0.69,690.0,2,2,2,0 to 1 year old,0,medium,0,mid-rise
sector 99,2.65,2835.0,4,4,3+,0 to 1 year old,1,high,2,high-rise
sector 91,1.45,1404.0,2,2,3+,1 to 5 year old,0,medium,1,mid-rise
sector 91,1.4,1310.0,2,2,2,1 to 5 year old,0,high,1,mid-rise
sector 90,1.89,1930.0,3,3,3+,5 to 10 year old,1,medium,1,mid-rise
sector 91,2.25,2320.0,3,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 90,1.92,1702.0,3,3,3,5 to 10 year old,0,medium,1,high-rise
sector 90,2.15,1935.0,3,3,3+,1 to 5 year old,0,medium,2,high-rise
sector 77,1.28,1342.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 90,2.55,2215.0,4,4,3+,5 to 10 year old,0,medium,1,high-rise
sector 91,1.87,1930.0,3,3,3+,1 to 5 year old,1,medium,1,mid-rise
sector 90,1.96,1930.0,3,3,3+,1 to 5 year old,1,medium,1,mid-rise
sector 86,2.35,2356.0,4,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 90,2.3,2364.0,4,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 70a,0.85,745.5,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 107,2.2,3352.62,3,4,3,1 to 5 year old,1,medium,1,mid-rise
sohna,1.12,1269.0,2,2,3+,1 to 5 year old,0,medium,1,mid-rise
sector 93,0.8,915.9,3,2,1,under construction,0,low,0,mid-rise
dlf phase 4,2.1,1105.0,2,2,2,10+ year old,0,medium,0,high-rise
sector 112,7.5,4857.0,4,6,3+,1 to 5 year old,1,medium,1,high-rise
sector 92,1.36,1180.0,2,2,2,under construction,0,low,1,mid-rise
sector 41,3.25,1634.0,3,2,2,10+ year old,1,high,1,mid-rise
sector 70a,0.665,1000.0,2,2,1,1 to 5 year old,0,high,1,mid-rise
sector 65,2.6,1516.0,2,2,3,0 to 1 year old,1,medium,2,high-rise
sector 109,1.8,2177.0,3,3,1,5 to 10 year old,1,medium,0,mid-rise
sector 95a,0.58,730.2633999999999,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 95a,0.57,730.2633999999999,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 93,2.2,2395.0,4,3,3,under construction,1,high,2,low-rise
sector 108,1.35,1283.0,2,3,3,1 to 5 year old,0,high,2,mid-rise
sector 91,1.3,1860.2,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 70a,0.72,980.0,2,2,1,1 to 5 year old,0,high,2,mid-rise
sector 84,1.4,1350.0,3,2,3+,1 to 5 year old,0,medium,1,mid-rise
sector 104,2.5,1689.0,3,3,3,under construction,0,medium,1,high-rise
sector 65,9.15,4010.0,4,4,3+,1 to 5 year old,1,high,4,high-rise
palam vihar,2.0,2723.56,2,2,3+,10+ year old,0,low,0,mid-rise
sector 65,2.6,2350.0,3,3,3,5 to 10 year old,0,high,2,low-rise
sector 61,4.0,2438.0,4,4,3+,5 to 10 year old,1,high,2,high-rise
sector 69,2.4,1578.0,3,3,2,1 to 5 year old,0,medium,1,mid-rise
sector 88a,1.95,1779.0,3,3,3+,1 to 5 year old,0,high,1,mid-rise
sector 103,1.6,1991.0,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sohna,0.53,623.0,2,2,2,1 to 5 year old,0,medium,2,mid-rise
sohna,0.52,623.0,2,2,2,1 to 5 year old,0,medium,2,mid-rise
sector 79,2.55,1960.0,3,4,2,1 to 5 year old,1,high,1,high-rise
sector 89,1.75,2121.48,3,2,2,0 to 1 year old,0,medium,1,low-rise
sector 61,2.5,1627.0,3,3,3+,0 to 1 year old,0,high,0,low-rise
sector 37d,1.7,1838.9,3,3,3,0 to 1 year old,0,medium,1,low-rise
sector 9a,1.62,1800.0,3,2,2,5 to 10 year old,0,low,2,mid-rise
sector 69,2.45,1704.0,3,3,3+,under construction,0,medium,1,high-rise
sector 70,2.2,1510.0,2,3,3+,10+ year old,1,medium,1,mid-rise
sector 63a,2.8,2087.4,3,3,2,0 to 1 year old,0,low,1,low-rise
sector 92,1.7,1370.0,3,2,3,5 to 10 year old,0,medium,1,mid-rise
sector 37d,1.18,1532.1799999999998,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 70,1.6,1350.0,2,2,3,0 to 1 year old,0,low,1,mid-rise
sector 79,2.25,1552.0,3,3,2,under construction,0,medium,1,low-rise
sector 113,4.75,2872.5,4,4,3+,under construction,1,medium,2,high-rise
sector 61,3.45,1712.0,3,3,2,0 to 1 year old,0,medium,1,low-rise
sector 49,4.2,2562.0,4,4,3+,5 to 10 year old,1,medium,2,mid-rise
sector 81,1.49,1931.2,2,2,3,5 to 10 year old,0,medium,1,mid-rise
sector 49,7.85,3363.128,4,4,3,under construction,0,medium,3,high-rise
sector-33 sohna,3.8,3649.4,4,4,3+,0 to 1 year old,1,medium,1,mid-rise
sector-33 sohna,1.46,1310.0,2,2,3,under construction,0,medium,1,high-rise
sector 76,2.17,1672.0,3,3,2,under construction,0,low,1,low-rise
sector 79,1.95,1525.0,3,3,3,under construction,0,low,0,low-rise
sector 92,1.7,3976.0,4,3,1,1 to 5 year old,0,medium,1,mid-rise
sector 76,0.88,735.0,2,2,2,1 to 5 year old,0,medium,2,mid-rise
sector 86,2.15,1929.0,3,3,2,1 to 5 year old,0,medium,2,mid-rise
nawada fatehpur,2.0,1930.0,3,3,3,10+ year old,1,high,2,mid-rise
sector 76,0.85,871.56,2,2,1,1 to 5 year old,0,medium,2,mid-rise
sector 102,2.38,2025.0,3,4,1,1 to 5 year old,1,medium,2,mid-rise
sector 102,0.72,632.0,2,2,1,1 to 5 year old,0,medium,0,mid-rise
new colony,1.7,1200.0,3,2,1,0 to 1 year old,0,medium,1,low-rise
sector 84,1.45,1725.0,3,3,3+,5 to 10 year old,0,medium,1,mid-rise
sector 68,1.75,1304.0,2,2,2,1 to 5 year old,0,medium,0,high-rise
sector 67,3.7,2685.0,4,4,3,1 to 5 year old,1,high,2,mid-rise
sector 93,0.75,765.38,2,2,2,1 to 5 year old,0,low,0,mid-rise
sector 70,1.68,1350.0,2,2,3,1 to 5 year old,0,high,1,mid-rise
sector 79,1.77,1490.0,3,3,3,1 to 5 year old,0,medium,1,high-rise
sector-33 sohna,1.42,1966.7,2,2,3+,1 to 5 year old,0,medium,2,mid-rise
sector 110,1.1,604.0,3,2,2,under construction,0,low,0,mid-rise
sector 107,0.49,730.448,2,2,2,5 to 10 year old,0,low,1,mid-rise
sector 108,1.65,1838.0,3,3,2,1 to 5 year old,0,medium,2,mid-rise
sector 65,2.85,1750.0,4,3,3,1 to 5 year old,0,high,1,low-rise
sector 82a,2.8,1799.0,3,3,3+,1 to 5 year old,0,medium,1,high-rise
sohna,0.38,679.4274,2,2,1,1 to 5 year old,0,medium,0,mid-rise
sector 79,1.79,1510.0,3,3,3,1 to 5 year old,0,high,1,high-rise
sector 79,2.47,2150.0,3,4,3+,0 to 1 year old,1,medium,1,mid-rise
sector 69,2.4,1704.0,3,3,3,under construction,0,medium,1,high-rise
sector 102,0.7,605.5,2,2,1,1 to 5 year old,0,high,2,mid-rise
sector 110 a,2.25,2042.0,3,3,3+,1 to 5 year old,1,medium,1,mid-rise
sector 43,4.25,3200.0,4,4,3+,5 to 10 year old,1,low,2,mid-rise
sector 37c,1.5,2499.2,3,3,3,5 to 10 year old,0,medium,1,mid-rise
sector 37d,1.24,1725.0,2,2,3,5 to 10 year old,0,medium,0,mid-rise
sector 92,1.75,2033.44,3,2,3,under construction,0,medium,1,low-rise
sector 33,1.6,1100.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 89,1.61,1910.0,3,3,3,0 to 1 year old,1,high,2,mid-rise
sector 89,1.6,1957.0,3,3,3,1 to 5 year old,1,high,2,mid-rise
sector 76,0.88,826.60472,2,2,1,1 to 5 year old,0,medium,2,mid-rise
sector 102,0.75,632.0,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 86,1.5,1690.0,3,2,1,0 to 1 year old,0,medium,2,mid-rise
sector 92,1.9,3043.06,4,5,3+,5 to 10 year old,0,medium,0,mid-rise
sector 37c,1.6,1815.0,3,5,3+,1 to 5 year old,1,medium,1,high-rise
sector 81,0.61,598.0,2,2,1,1 to 5 year old,0,low,0,mid-rise
sector 89,1.35,1698.32,2,2,3,0 to 1 year old,0,medium,0,low-rise
sector 95,0.9,923.0,3,2,2,1 to 5 year old,0,medium,1,mid-rise
sohna,1.72,1527.0,3,3,3,0 to 1 year old,0,medium,2,mid-rise
sector 81,0.4,417.0,1,1,1,1 to 5 year old,0,low,0,low-rise
sector 84,1.8,1918.0,3,3,3+,1 to 5 year old,1,medium,1,mid-rise
sector 84,1.8,1918.0,3,3,3+,0 to 1 year old,0,medium,2,mid-rise
sector 74,3.6,2018.0,3,3,3+,1 to 5 year old,0,medium,2,high-rise
sector 102,1.3,915.0,2,2,2,0 to 1 year old,0,high,1,high-rise
sector 63a,2.6,2307.5,2,2,1,0 to 1 year old,0,medium,2,low-rise
sector-33 sohna,1.78,1412.9,2,2,2,0 to 1 year old,0,medium,0,mid-rise
sector 86,0.6,840.3276,2,2,1,0 to 1 year old,0,medium,1,mid-rise
sector 81,0.98,1225.0,2,2,2,5 to 10 year old,0,medium,1,mid-rise
sector 85,1.27,1485.0,3,3,2,5 to 10 year old,0,high,1,mid-rise
sector 92,1.38,1882.92,3,2,3,1 to 5 year old,0,high,1,mid-rise
sector 93,1.85,2330.0,3,3,2,under construction,0,medium,2,low-rise
sector 76,2.17,1672.0,3,3,2,under construction,0,low,2,low-rise
sector 84,2.5,2244.0,3,3,3,1 to 5 year old,1,medium,2,high-rise
sector 82,1.8,1790.0,3,4,2,1 to 5 year old,1,medium,1,mid-rise
sector 83,0.99,1050.0,2,2,2,5 to 10 year old,0,high,1,mid-rise
sector 82,1.83,1790.0,3,4,2,5 to 10 year old,1,medium,1,mid-rise
sector 79,3.22,2150.0,3,4,3+,0 to 1 year old,1,high,1,mid-rise
sector 65,20.8,6050.0,4,4,3,under construction,1,medium,0,high-rise
sector 83,1.7,1755.0,3,3,2,5 to 10 year old,0,high,1,mid-rise
sector 85,2.25,1400.0,2,2,3,under construction,0,medium,1,mid-rise
sector 88a,0.75,917.0928,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 69,1.5,1882.92,3,2,2,10+ year old,0,medium,1,mid-rise
sector 81,0.7,707.16,2,2,1,5 to 10 year old,0,low,0,mid-rise
sector 70a,2.28,1420.0,2,2,3,5 to 10 year old,0,medium,1,mid-rise
sector 107,0.78,548.0,2,2,2,1 to 5 year old,0,medium,2,mid-rise
sector 37c,1.96,1840.0,3,3,3,under construction,0,medium,1,mid-rise
sector 36a,4.85,2538.0,3,3,3+,0 to 1 year old,0,high,2,high-rise
sector 86,1.9,1930.0,3,4,3+,1 to 5 year old,1,medium,1,mid-rise
sector 90,0.655,690.0,2,2,1,1 to 5 year old,0,low,0,mid-rise
sector 90,2.35,2364.0,4,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 91,1.36,1310.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 70a,3.58,2150.0,3,3,3,0 to 1 year old,0,high,2,high-rise
sector 72,4.41,2185.0,3,4,3+,0 to 1 year old,1,high,2,high-rise
sector 72,4.79,2550.0,3,3,3+,1 to 5 year old,1,high,2,high-rise
sector 70,2.3,1510.0,2,3,3+,1 to 5 year old,1,medium,1,mid-rise
sector 72,4.95,2625.0,4,4,3,0 to 1 year old,1,high,2,high-rise
sector 70a,2.85,1703.0,3,3,3+,0 to 1 year old,0,high,2,high-rise
sector 110,8.45,7500.0,6,7,3+,1 to 5 year old,1,medium,2,mid-rise
sector 110,4.8,3400.0,4,5,3,1 to 5 year old,1,high,2,mid-rise
sector 110,8.2,7430.0,5,4,3+,1 to 5 year old,1,high,4,mid-rise
sector 110,5.42,3880.0,5,5,3+,1 to 5 year old,1,high,3,mid-rise
sector 110,5.45,3880.0,5,5,3+,1 to 5 year old,1,high,3,mid-rise
sector 72,4.9,2625.0,4,5,3+,0 to 1 year old,1,high,2,high-rise
sector 72,7.0,3355.0,4,4,3+,0 to 1 year old,1,high,2,high-rise
sector 72,7.2,3355.0,4,4,3+,0 to 1 year old,1,high,2,high-rise
sector 70a,3.44,2150.0,3,3,3,1 to 5 year old,0,medium,1,high-rise
sector 112,4.15,2441.0,2,2,3,1 to 5 year old,0,high,2,high-rise
sector 112,7.8,4848.0,4,6,3+,0 to 1 year old,1,medium,2,high-rise
sector 112,12.35,8515.0,5,7,3+,0 to 1 year old,1,medium,3,high-rise
sector 112,6.0,3763.0,3,5,2,1 to 5 year old,0,high,2,high-rise
sector 112,8.25,6325.0,5,5,3+,0 to 1 year old,1,medium,3,high-rise
sector 70a,2.27,1262.0,2,2,3,0 to 1 year old,0,medium,1,high-rise
sector 72,6.3,3300.0,4,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 72,6.9,3355.0,4,4,3+,1 to 5 year old,1,high,3,high-rise
sector 67,5.39,2606.0,3,3,3,1 to 5 year old,1,high,2,high-rise
sector 72,6.3,3300.0,4,5,3,1 to 5 year old,1,medium,2,high-rise
sector 72,5.5,2905.0,4,5,3+,5 to 10 year old,1,high,2,high-rise
sector 70a,3.56,2150.0,3,3,3,0 to 1 year old,0,medium,2,high-rise
sector 70a,3.55,2150.0,3,3,3,0 to 1 year old,0,medium,2,high-rise
sector 66,4.7,2100.0,4,4,3,1 to 5 year old,1,high,2,mid-rise
sector 72,7.3,3355.0,4,4,3,5 to 10 year old,1,medium,2,high-rise
sector 47,4.95,2470.0,3,5,3,1 to 5 year old,1,medium,2,mid-rise
sector 47,7.0,3125.0,4,6,3+,1 to 5 year old,1,medium,2,mid-rise
sector 65,3.85,2054.0,3,3,3,0 to 1 year old,1,high,2,high-rise
sector 65,3.5,1828.0,3,3,3,0 to 1 year old,0,medium,2,high-rise
sector 66,3.65,2415.0,4,5,2,1 to 5 year old,1,high,1,mid-rise
sector 65,2.85,1516.0,2,2,2,0 to 1 year old,0,high,1,high-rise
sector 88a,2.3,2142.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 49,2.9,2016.0,4,3,3+,5 to 10 year old,0,medium,1,mid-rise
sector 76,0.86,868.62252,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 37d,1.3,2277.68,3,3,3+,1 to 5 year old,0,high,0,mid-rise
sector 86,2.45,2364.0,4,4,2,1 to 5 year old,0,medium,2,mid-rise
sector 86,2.42,2356.0,4,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 90,3.0,2727.0,4,4,3+,1 to 5 year old,1,medium,0,mid-rise
sector 86,1.97,1930.0,3,3,3,5 to 10 year old,1,medium,1,mid-rise
sector 86,2.3,2356.0,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 86,1.94,1930.0,3,3,3,1 to 5 year old,1,medium,1,mid-rise
sector 86,1.95,1930.0,3,3,3,1 to 5 year old,1,medium,2,mid-rise
sector 86,2.38,2356.0,4,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 90,1.91,1930.0,3,3,3,1 to 5 year old,1,medium,2,mid-rise
sector 66,3.8,1950.0,3,3,2,10+ year old,1,medium,3,mid-rise
sector 109,3.03,1955.0,3,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 109,3.76,4000.0,4,6,3+,5 to 10 year old,1,medium,3,mid-rise
sector 109,4.1,2925.0,4,4,3,1 to 5 year old,1,high,1,mid-rise
sector 104,4.0,3150.0,4,4,3+,1 to 5 year old,1,medium,1,high-rise
sector 56,3.32,3692.0,3,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 37d,1.45,1675.0,3,3,3+,1 to 5 year old,0,high,1,mid-rise
sector 67a,0.83,839.2199999999999,2,2,1,1 to 5 year old,0,medium,0,mid-rise
sector 84,1.95,1918.0,3,4,3+,1 to 5 year old,0,medium,1,mid-rise
sector 92,1.32,1825.0,3,2,3,0 to 1 year old,0,medium,0,low-rise
sector 102,2.3,2142.7799999999997,3,4,3+,1 to 5 year old,1,medium,2,mid-rise
sector 90,0.65,626.0,2,2,1,1 to 5 year old,0,medium,2,mid-rise
sector 62,3.95,1996.0,3,3,3,1 to 5 year old,1,medium,2,high-rise
sector 79,2.46,2050.0,3,3,3,0 to 1 year old,0,high,1,mid-rise
sector 104,2.45,1700.0,2,2,3,1 to 5 year old,1,medium,2,high-rise
sector 104,1.95,1550.0,2,2,2,1 to 5 year old,0,high,1,high-rise
sector 79,1.87,1490.0,3,3,3,1 to 5 year old,0,high,1,high-rise
sector 102,2.0,1349.0,2,2,3+,1 to 5 year old,0,medium,1,high-rise
sector 83,2.48,1950.0,3,4,3+,1 to 5 year old,1,high,1,mid-rise
sector 83,2.39,1900.0,3,4,3,1 to 5 year old,1,high,1,mid-rise
sector 83,2.35,1850.0,3,4,3+,1 to 5 year old,1,high,1,mid-rise
sector 79,2.65,2150.0,3,4,2,0 to 1 year old,1,medium,1,mid-rise
sector 47,3.06,2086.0,3,4,3+,5 to 10 year old,1,medium,2,mid-rise
sector 109,2.3,2836.0,4,4,3+,1 to 5 year old,1,high,3,mid-rise
heritage city,3.55,1850.0,3,4,3+,10+ year old,1,low,1,mid-rise
dlf phase 4,2.4,1105.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 107,2.69,2768.0,4,5,3+,1 to 5 year old,1,high,1,mid-rise
sector 107,1.73,1943.0,3,3,3,1 to 5 year old,0,high,1,mid-rise
sector 107,1.31,1366.0,2,2,3+,1 to 5 year old,0,high,1,mid-rise
sector 107,1.95,2361.0,3,4,3+,1 to 5 year old,1,high,1,mid-rise
sector 37d,1.22,1380.0,2,2,3,1 to 5 year old,0,medium,1,mid-rise
sector 107,1.23,1366.0,2,2,3+,1 to 5 year old,0,high,1,mid-rise
sector 103,2.8,2875.0,4,6,3+,1 to 5 year old,1,high,3,mid-rise
sector 107,1.28,1366.0,2,2,3+,1 to 5 year old,0,high,1,mid-rise
sector 107,1.8,1943.0,3,3,3,1 to 5 year old,0,high,1,mid-rise
sector 107,2.05,2361.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 103,2.05,2000.0,3,3,3+,1 to 5 year old,0,high,2,mid-rise
sector 102,2.55,1889.0,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 102,2.2,1689.0,3,3,3,1 to 5 year old,0,high,2,high-rise
sector 107,1.25,1366.0,2,2,3+,1 to 5 year old,0,high,1,mid-rise
sector 102,1.6,1518.75,2,2,3,0 to 1 year old,0,medium,2,high-rise
sector 109,2.3,2836.0,4,5,3+,1 to 5 year old,1,high,3,mid-rise
sector 109,1.9,1750.0,3,3,3+,1 to 5 year old,0,high,2,high-rise
sector 109,1.88,2177.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 108,1.8,1758.0,3,3,3+,1 to 5 year old,1,high,2,mid-rise
sector 109,2.3,2150.0,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 104,2.35,1700.0,2,3,3,1 to 5 year old,1,high,2,high-rise
sector 104,1.8,1550.0,2,2,2,1 to 5 year old,0,high,2,high-rise
sector 108,2.25,2003.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 65,2.9,2100.0,4,2,3,1 to 5 year old,0,medium,1,low-rise
sector 82a,3.0,2086.0,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 28,4.85,2954.0,4,5,3+,5 to 10 year old,1,medium,1,mid-rise
sector 102,2.43,2025.0,3,4,1,1 to 5 year old,1,high,1,mid-rise
sector 102,2.37,2025.0,3,4,1,1 to 5 year old,1,high,1,mid-rise
sector 104,3.85,2450.0,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 104,2.57,2290.0,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 107,1.22,1366.0,2,2,3+,1 to 5 year old,0,high,1,mid-rise
sector 109,2.3,1745.0,3,3,3,1 to 5 year old,0,high,2,high-rise
sector 109,4.15,3045.0,4,5,3+,1 to 5 year old,1,high,2,high-rise
sector 107,2.1,2361.0,3,4,3+,1 to 5 year old,1,high,1,mid-rise
sector 66,4.2,2410.0,4,5,3+,1 to 5 year old,1,high,2,mid-rise
sector 66,4.1,1950.0,3,3,2,1 to 5 year old,1,medium,2,mid-rise
sector 107,1.4,1366.0,2,2,3+,1 to 5 year old,0,high,1,mid-rise
sector 67a,2.7,1921.0,3,3,2,1 to 5 year old,1,high,3,mid-rise
sector 72,6.25,3300.0,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 72,6.25,3250.0,4,4,3+,1 to 5 year old,1,high,2,low-rise
sector 72,5.5,3300.0,4,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 109,1.97,1750.0,3,3,3+,1 to 5 year old,0,high,2,high-rise
sector 109,3.7,3150.0,4,5,3+,1 to 5 year old,1,high,2,high-rise
sector 104,3.75,2450.0,3,4,3+,1 to 5 year old,1,high,2,high-rise
sector 104,3.7,3150.0,4,4,3+,1 to 5 year old,1,high,2,high-rise
sector 104,3.65,3150.0,4,4,3+,1 to 5 year old,1,high,2,high-rise
sector 107,1.42,1534.0,2,2,3,1 to 5 year old,0,high,1,mid-rise
sector 107,1.28,1366.0,2,2,3,1 to 5 year old,0,high,1,mid-rise
sector 107,1.71,1943.0,3,3,3,1 to 5 year old,0,high,1,mid-rise
sector 89 a,3.0,2650.0,3,4,3+,1 to 5 year old,1,medium,3,mid-rise
sector 77,2.6,2025.0,3,3,3,1 to 5 year old,1,high,1,high-rise
sector 86,2.4,1929.0,3,3,1,1 to 5 year old,0,medium,2,mid-rise
sector 86,2.4,1929.0,3,3,1,1 to 5 year old,0,medium,2,mid-rise
sector 65,7.8,3510.0,3,5,1,1 to 5 year old,1,high,2,high-rise
sector 65,6.8,3898.0,3,3,3+,1 to 5 year old,1,high,2,high-rise
sector 65,2.4,1350.0,3,3,3,1 to 5 year old,1,high,1,mid-rise
sector 65,2.8,1516.0,2,2,3,0 to 1 year old,0,high,1,high-rise
sector 106,1.45,1385.0,2,2,3,1 to 5 year old,0,medium,1,high-rise
sector 108,2.0,1758.0,3,3,3+,1 to 5 year old,1,high,2,mid-rise
sector 92,1.68,2057.0,4,4,3,1 to 5 year old,1,high,1,mid-rise
sector 54,6.6,2478.75,3,3,3,5 to 10 year old,1,medium,2,high-rise
sector-33 sohna,1.34,1966.7,2,2,3+,0 to 1 year old,0,high,2,mid-rise
sector 54,7.5,2282.0,3,3,3,5 to 10 year old,1,high,1,high-rise
sector 54,7.3,2282.0,3,3,3,5 to 10 year old,1,high,1,high-rise
sector 65,2.92,1516.0,2,2,2,1 to 5 year old,0,high,1,high-rise
sector 53,9.0,3395.0,4,5,3+,5 to 10 year old,1,high,2,mid-rise
sector 65,2.45,1261.0,2,2,2,1 to 5 year old,0,high,1,high-rise
sector 65,2.85,1516.0,2,2,2,1 to 5 year old,0,high,1,high-rise
sector 62,3.75,1508.0,2,2,1,1 to 5 year old,0,high,1,high-rise
sector 85,1.75,1640.0,2,2,3,1 to 5 year old,0,medium,1,high-rise
sector 106,4.1,3862.4,4,4,3+,0 to 1 year old,1,high,3,high-rise
sector 62,3.6,1508.0,2,2,1,1 to 5 year old,0,high,1,high-rise
sector 88a,2.3,2387.5,3,3,3+,1 to 5 year old,0,medium,2,high-rise
sector 88a,1.95,1565.0,3,3,3+,1 to 5 year old,0,medium,0,high-rise
sector 60,4.2,2045.0,3,3,3,5 to 10 year old,1,high,1,mid-rise
sector 60,4.3,2045.0,3,3,3,5 to 10 year old,1,high,1,mid-rise
sector 79,1.55,1351.0,2,2,3,1 to 5 year old,0,medium,2,mid-rise
sector 66,4.55,2764.0,4,4,3,1 to 5 year old,1,medium,1,mid-rise
sector 66,3.15,2038.0,3,3,3+,1 to 5 year old,1,medium,1,mid-rise
sector 37c,1.47,1790.0,3,3,3,0 to 1 year old,0,low,1,high-rise
sector 71,0.85,639.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 71,0.54,520.4016,1,1,2,1 to 5 year old,0,medium,1,low-rise
sector 71,1.0,917.32,3,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 71,0.83,600.0,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 110,4.75,3400.0,4,5,3,1 to 5 year old,1,medium,3,mid-rise
sector 110,5.35,3880.0,5,5,3+,1 to 5 year old,1,medium,3,mid-rise
sector 102,3.1,2149.0,3,4,3+,5 to 10 year old,1,medium,2,high-rise
sector 102,2.57,1942.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 108,4.15,2072.0,3,3,2,1 to 5 year old,0,medium,2,high-rise
sector 108,3.9,2003.0,3,4,3+,1 to 5 year old,0,medium,2,high-rise
sector 108,4.6,2343.0,3,5,2,1 to 5 year old,1,medium,2,high-rise
sector 109,4.1,3150.0,4,5,3+,1 to 5 year old,1,medium,3,high-rise
sector 109,4.2,3045.0,4,5,3+,1 to 5 year old,1,medium,2,high-rise
sector 109,2.8,2095.0,3,4,3,1 to 5 year old,1,medium,2,high-rise
sector 109,3.1,2585.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 109,2.43,2150.0,3,4,3+,1 to 5 year old,1,medium,2,high-rise
sector 104,2.4,1700.0,2,3,3,1 to 5 year old,0,medium,2,high-rise
sector 104,3.45,2450.0,3,4,3+,1 to 5 year old,1,medium,3,high-rise
sector 102,2.43,1692.0,3,3,2,1 to 5 year old,0,medium,2,high-rise
sector 104,3.9,3150.0,4,4,3+,5 to 10 year old,1,medium,3,high-rise
sector 102,2.4,2025.0,3,4,3+,1 to 5 year old,1,high,2,mid-rise
sector 102,2.55,1889.0,3,4,3+,5 to 10 year old,1,high,2,high-rise
sector 102,3.25,2579.0,3,4,3+,5 to 10 year old,1,high,2,high-rise
sector 102,3.7,3198.0,4,4,3+,5 to 10 year old,1,high,3,high-rise
sector 102,2.26,1689.0,3,3,3+,5 to 10 year old,0,medium,2,high-rise
sector 102,2.58,1852.0,3,3,3,1 to 5 year old,0,medium,2,high-rise
sector 102,3.0,2162.0,4,4,3+,1 to 5 year old,0,medium,2,high-rise
sector 102,1.76,1215.0,2,2,2,1 to 5 year old,0,medium,2,high-rise
