sector,price,super_area,bedrooms,bathroom,balcony,age_possession,servant_room,luxury_category,parking,building_type
sector 63,4.25,2608.75,3,3,3+,1 to 5 year old,0,medium,2,low-rise
sector 1a imt manesar,1.6,1945.0,3,3,3,1 to 5 year old,1,medium,1,mid-rise
sector 91,2.7,1930.0,3,3,3,5 to 10 year old,0,medium,1,mid-rise
sector 79,2.8,2687.5,3,3,3,0 to 1 year old,1,medium,1,mid-rise
gwal pahari,9.26,4750.0,4,5,3+,under construction,0,medium,3,high-rise
dlf phase 4,5.25,2556.0,4,4,2,0 to 1 year old,1,high,2,low-rise
sector 76,0.95,901.7,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sohna,0.73,1027.5,2,2,3,1 to 5 year old,0,medium,1,low-rise
sector 76,0.86,931.25,2,2,2,1 to 5 year old,0,medium,2,mid-rise
sector 67,0.76,805.0,2,2,1,1 to 5 year old,0,medium,2,mid-rise
sector 67,0.73,800.0,2,2,1,1 to 5 year old,0,medium,2,mid-rise
sector 36 sohna,1.1,1675.6,3,3,3,0 to 1 year old,0,low,3,low-rise
sector 102,0.72,632.0,2,2,1,1 to 5 year old,0,medium,0,mid-rise
sohna,0.54,950.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sohna,0.35,539.6,1,1,1,1 to 5 year old,0,medium,1,mid-rise
sohna,0.53,1008.2,2,2,1,1 to 5 year old,0,medium,1,mid-rise
dlf phase 5,13.0,3979.0,4,5,3+,10+ year old,0,medium,2,mid-rise
sector 102,0.78,915.9,3,2,3,1 to 5 year old,0,medium,2,mid-rise
sector 86,2.42,1923.0,3,3,3+,5 to 10 year old,1,high,2,mid-rise
sector 79,0.385,504.9662,1,1,1,0 to 1 year old,0,high,1,high-rise
sector 99,0.65,852.0,2,2,2,0 to 1 year old,0,medium,1,mid-rise
sector 92,1.25,1935.0,3,4,3,1 to 5 year old,1,medium,1,mid-rise
sector 99,3.2,2750.0,3,3,3+,0 to 1 year old,0,high,2,mid-rise
sector 102,0.8,915.9,3,2,2,1 to 5 year old,0,low,2,mid-rise
sector 76,0.845,889.24944,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 48,2.1,1785.0,3,3,3,10+ year old,0,medium,1,mid-rise
sector 77,1.28,1342.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 106,0.5489999999999999,700.0,1,1,1,1 to 5 year old,0,high,1,mid-rise
sector 90,2.7,2556.0,3,3,3,1 to 5 year old,0,medium,1,high-rise
sector 67a,1.95,1335.0,2,2,2,0 to 1 year old,0,medium,1,mid-rise
sector 62,3.14,1495.9274,2,2,2,under construction,0,medium,2,high-rise
sector 37d,3.83,2469.0,3,3,3+,under construction,1,high,2,high-rise
sector 99a,2.2,1997.0,3,5,3,0 to 1 year old,1,medium,1,mid-rise
malibu town,3.15,2500.0,3,3,2,0 to 1 year old,1,medium,2,low-rise
sector 105,0.28,99.4,2,2,1,1 to 5 year old,0,low,1,low-rise
sector 90,2.2,1935.0,3,3,3,5 to 10 year old,0,medium,2,mid-rise
sector 95,0.75,1000.0,3,2,2,0 to 1 year old,0,medium,1,mid-rise
golf course ext road,2.85,3121.16,4,4,3+,0 to 1 year old,0,medium,1,low-rise
sohna,0.4,576.0,2,2,2,1 to 5 year old,0,medium,1,mid-rise
sector 37d,4.0,2469.0,3,3,3,under construction,0,medium,2,high-rise
sohna,0.62,950.0,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sohna,0.42,679.4274,2,2,1,1 to 5 year old,0,medium,1,mid-rise
sector 76,0.87,645.6,2,2,2,1 to 5 year old,0,high,1,mid-rise
sector 37d,0.63,650.0,2,2,3,0 to 1 year old,0,medium,2,high-rise
sector 95,3.96,3514.5,3,4,3,under construction,0,medium,2,high-rise
sector 70a,0.75,836.0,2,2,1,1 to 5 year old,0,medium,0,low-rise
sector 70a,2.08,1512.0,2,2,3+,1 to 5 year old,0,medium,1,mid-rise
sohna,0.56,746.37,3,2,1,1 to 5 year old,0,medium,1,mid-rise
sohna,0.57,713.68,3,2,1,1 to 5 year old,0,medium,2,mid-rise
sohna,0.43,780.0,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector 106,4.72,2450.0,3,4,3+,under construction,1,low,2,high-rise
sector-33 sohna,1.41,1966.7,2,2,2,0 to 1 year old,0,medium,1,mid-rise
sector-33 sohna,2.09,1929.0,3,3,3,under construction,1,medium,3,mid-rise
sector-33 sohna,2.09,1929.0,3,3,3,under construction,0,medium,3,mid-rise
sector 104,2.0,1736.25,3,2,3,0 to 1 year old,1,medium,1,high-rise
sector 63,2.6,1708.0,3,3,3+,1 to 5 year old,1,high,2,mid-rise
sector 93,0.61,765.9196,2,2,3,0 to 1 year old,0,medium,1,mid-rise
sector 70a,0.77,852.0,2,2,2,1 to 5 year old,0,medium,0,mid-rise
sector-33 sohna,1.55,1022.2,2,2,3,0 to 1 year old,0,high,1,mid-rise
