,link,address,price,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,furnishing_type,facing,num_parking,features
51,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-homes-2-sector-86-gurgaon-645-sq-ft-spid-F81439995,"Pyramid Urban Homes 2
Sector 86, Gurgaon",90 Lac,916.255,3 Bedrooms,2 Bathrooms,2 Balconies,,0 to 1 Year Old,5th   of 8 Floors,Unfurnished,,,"['Lift(s)', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Club house / Community Center', 'Waste Disposal']"
52,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-palm-gardens-sector-83-gurgaon-1900-sq-ft-spid-V81438311,"Emaar Palm Gardens
Sector 83, Gurgaon",2.75 Cr,1900.0,3 Bedrooms,4 Bathrooms,3 Balconies,"Study Room,Servant Room",1 to 5 Year Old,12nd   of 16 Floors,Semifurnished,North,1 Covered,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
53,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-navraj-the-antalyas-sector-37d-gurgaon-2071-sq-ft-r1-spid-M78385035,"Navraj The Antalyas
Sector 37D, Gurgaon",2.5 Cr,2071.0,3 Bedrooms,3 Bathrooms,3 Balconies,,Dec 2025,1st   of 5 Floors,,,1 Covered,"['Swimming Pool', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
54,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-gems-sector-89-gurgaon-1494-sq-ft-spid-F81437033,"Smart World Gems
Sector 89, Gurgaon",1.8 Cr,2121.48,3 Bedrooms,3 Bathrooms,2 Balconies,,Within 3 months,1st   of 4 Floors,Unfurnished,,,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']"
55,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-gardencity-enclave-sector-93-gurgaon-1620-sq-ft-spid-U81435453,"DLF Gardencity Enclave
Sector 93, Gurgaon",1.95 Cr,180.0,3 Bedrooms,4 Bathrooms,3 Balconies,,0 to 1 Year Old,1st   of 4 Floors,Furnished,,"1 Covered, 1 Open","['Shopping Centre', 'Club house / Community Center']"
56,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-the-residences-sector-33-gurgaon-1570-sq-ft-spid-B81434805,"Unitech The Residences
Sector 33, Gurgaon",3 Cr,1570.0,3 Bedrooms,3 Bathrooms,3 Balconies,,1 to 5 Year Old,1st   of 11 Floors,,,,
57,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-paras-quartier-gwal-pahari-gurgaon-6000-sq-ft-spid-U81434521,"Paras Quartier
Gwal Pahari, Gurgaon",12 Cr,6000.0,4 Bedrooms,6 Bathrooms,1 Balcony,"Pooja Room,Servant Room",0 to 1 Year Old,13rd   of 43 Floors,Unfurnished,East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
58,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-one-key-resiments-sector-67-gurgaon-1086-sq-ft-spid-R81432751,"M3M One Key Resiments
Sector 67, Gurgaon",1.6 Cr,1086.1,2 Bedrooms,1 Bathroom,1 Balcony,,1 to 5 Year Old,9th   of 16 Floors,,,,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
59,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-mantra-sector-67-gurgaon-800-sq-ft-spid-E81431031,"Shree Vardhman Mantra
Sector 67, Gurgaon",85 Lac,800.0,2 Bedrooms,2 Bathrooms,1 Balcony,,1 to 5 Year Old,11st   of 13 Floors,Furnished,South,1 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
60,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-aristocrat-sector-49-gurgaon-1566-sq-ft-spid-X81429829,"Godrej Aristocrat
Sector 49, Gurgaon",4.7 Cr,247.08,3 Bedrooms,3 Bathrooms,3 Balconies,Others,Jun 2027,21st   of 31 Floors,Unfurnished,East,1 Covered,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']"
